PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
1,0,2.0,1.0,22.0,1,0,7.25,2.0,2.0
2,1,0.0,0.0,38.0,1,0,71.2833,0.0,3.0
3,1,2.0,0.0,26.0,0,0,7.925,2.0,1.0
4,1,0.0,0.0,35.0,1,0,53.1,2.0,3.0
5,0,2.0,1.0,35.0,0,0,8.05,2.0,2.0
6,0,2.0,1.0,28.0,0,0,8.4583,1.0,2.0
7,0,0.0,1.0,54.0,0,0,51.8625,2.0,2.0
8,0,2.0,1.0,2.0,3,1,21.075,2.0,0.0
9,1,2.0,0.0,27.0,0,2,11.1333,2.0,3.0
10,1,1.0,0.0,14.0,1,0,30.0708,0.0,3.0
11,1,2.0,0.0,4.0,1,1,16.7,2.0,1.0
12,1,0.0,0.0,58.0,0,0,26.55,2.0,1.0
13,0,2.0,1.0,20.0,0,0,8.05,2.0,2.0
14,0,2.0,1.0,39.0,1,5,31.275,2.0,2.0
15,0,2.0,0.0,14.0,0,0,7.8542,2.0,1.0
16,1,1.0,0.0,55.0,0,0,16.0,2.0,3.0
17,0,2.0,1.0,2.0,4,1,29.125,1.0,0.0
18,1,1.0,1.0,42.0,0,0,13.0,2.0,2.0
19,0,2.0,0.0,31.0,1,0,18.0,2.0,3.0
20,1,2.0,0.0,24.0,0,0,7.225,0.0,3.0
21,0,1.0,1.0,35.0,0,0,26.0,2.0,2.0
22,1,1.0,1.0,34.0,0,0,13.0,2.0,2.0
23,1,2.0,0.0,15.0,0,0,8.0292,1.0,1.0
24,1,0.0,1.0,28.0,0,0,35.5,2.0,2.0
25,0,2.0,0.0,8.0,3,1,21.075,2.0,1.0
26,1,2.0,0.0,38.0,1,5,31.3875,2.0,3.0
27,0,2.0,1.0,21.0,0,0,7.225,0.0,2.0
28,0,0.0,1.0,19.0,3,2,263.0,2.0,2.0
29,1,2.0,0.0,32.0,0,0,7.8792,1.0,1.0
30,0,2.0,1.0,27.0,0,0,7.8958,2.0,2.0
31,0,0.0,1.0,40.0,0,0,27.7208,0.0,4.0
32,1,0.0,0.0,22.0,1,0,146.5208,0.0,3.0
33,1,2.0,0.0,38.0,0,0,7.75,1.0,1.0
34,0,1.0,1.0,66.0,0,0,10.5,2.0,2.0
35,0,0.0,1.0,28.0,1,0,82.1708,0.0,2.0
36,0,0.0,1.0,42.0,1,0,52.0,2.0,2.0
37,1,2.0,1.0,38.0,0,0,7.2292,0.0,2.0
38,0,2.0,1.0,21.0,0,0,8.05,2.0,2.0
39,0,2.0,0.0,18.0,2,0,18.0,2.0,1.0
40,1,2.0,0.0,14.0,1,0,11.2417,0.0,1.0
41,0,2.0,0.0,40.0,1,0,9.475,2.0,3.0
42,0,1.0,0.0,27.0,1,0,21.0,2.0,3.0
43,0,2.0,1.0,38.0,0,0,7.8958,0.0,2.0
44,1,1.0,0.0,3.0,1,2,41.5792,0.0,1.0
45,1,2.0,0.0,19.0,0,0,7.8792,1.0,1.0
46,0,2.0,1.0,19.0,0,0,8.05,2.0,2.0
47,0,2.0,1.0,35.0,1,0,15.5,1.0,2.0
48,1,2.0,0.0,25.0,0,0,7.75,1.0,1.0
49,0,2.0,1.0,41.0,2,0,21.6792,0.0,2.0
