Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,TotalSquareFeet
1,60,2,65.0,8450,1,0,1,0,1,1,0,13,7,6,1,2,7,5,2003,2003,4,0,5,5,2,196.0,2,4,3,2,4,2,0,706,6,0,150,856,5,0,1,1,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,0,6,2003.0,1,2,548,5,5,1,0,61,0,0,0,0,0,0,0,0,2,2008,4,1,208500,5,2566
2,20,2,80.0,9600,1,0,1,0,1,3,0,8,3,6,1,6,6,8,1976,1976,4,0,2,3,3,0.0,3,4,2,2,4,1,4,978,6,0,284,1262,5,0,1,1,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,5,6,1976.0,1,2,460,5,5,1,298,0,0,0,0,0,0,0,0,0,5,2007,4,1,181500,31,2524
3,60,2,68.0,11250,1,0,3,0,1,1,0,13,7,6,1,2,7,5,2001,2002,4,0,5,5,2,162.0,2,4,3,2,4,3,0,486,6,0,434,920,5,0,1,1,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,5,6,2001.0,1,2,608,5,5,1,0,42,0,0,0,0,0,0,0,0,9,2008,4,1,223500,7,2706
4,70,2,60.0,9550,1,0,3,0,1,0,0,12,7,6,1,2,7,5,1915,1970,4,0,12,14,3,0.0,3,4,5,4,1,2,4,216,6,0,540,756,5,1,1,1,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,2,3,1998.0,2,3,642,5,5,1,0,35,272,0,0,0,0,0,0,0,2,2006,4,4,140000,91,2473
5,60,2,84.0,14260,1,0,3,0,1,3,0,22,7,6,1,2,8,5,2000,2000,4,0,5,5,2,350.0,2,4,3,2,4,4,0,655,6,0,490,1145,5,0,1,1,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,5,6,2000.0,1,3,836,5,5,1,192,84,0,0,0,0,0,0,0,0,12,2008,4,1,250000,8,3343
6,50,2,85.0,14115,1,0,3,0,1,1,0,17,7,6,1,5,5,5,1993,1995,4,0,5,5,3,0.0,3,4,0,2,4,2,0,732,6,0,64,796,5,0,1,1,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,0,6,1993.0,2,2,480,5,5,1,40,30,0,320,0,0,0,2,4,700,10,2009,4,1,143000,16,2158
7,20,2,75.0,10084,1,0,1,0,1,1,0,10,7,6,1,6,8,5,2004,2005,4,0,5,5,0,186.0,2,4,3,1,4,4,0,1369,6,0,317,1686,5,0,1,1,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,6,2004.0,1,2,636,5,5,1,255,57,0,0,0,0,0,0,0,0,8,2007,4,1,307000,3,3380
8,60,2,69.0,10382,1,0,3,0,1,0,0,6,1,6,1,2,7,6,1973,1973,4,0,0,1,0,240.0,3,4,2,2,4,3,4,859,1,32,216,1107,5,0,1,1,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,5,6,1973.0,1,2,484,5,5,1,235,204,228,0,0,0,0,0,4,350,11,2009,4,1,200000,36,3197
9,50,4,51.0,6120,1,0,1,0,1,1,0,5,4,6,1,5,7,5,1931,1950,4,0,6,14,3,0.0,3,4,5,4,4,2,6,0,6,0,952,952,5,1,1,4,1022,752,0,1774,0,0,2,0,2,2,3,8,3,2,5,3,1931.0,2,2,468,3,5,1,90,0,205,0,0,0,0,0,0,0,4,2008,4,4,129900,77,2726
10,190,2,50.0,7420,1,0,1,0,1,0,0,3,4,3,3,7,5,6,1939,1950,4,0,2,3,3,0.0,3,4,5,4,4,2,0,851,6,0,140,991,5,0,1,1,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,5,6,1939.0,1,1,205,2,5,1,0,4,0,0,0,0,0,0,0,0,1,2008,4,1,118000,69,2068
11,20,2,70.0,11200,1,0,1,0,1,1,0,24,7,6,1,6,5,5,1965,1965,0,0,0,1,3,0.0,3,4,2,4,4,2,3,906,6,0,134,1040,5,0,1,1,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,0,3,1965.0,2,1,384,5,5,1,0,0,0,0,0,0,0,0,0,0,2,2008,4,1,129500,43,2080
12,60,2,85.0,11924,1,0,3,0,1,1,0,0,7,6,1,2,9,5,2005,2006,0,0,3,14,0,286.0,1,4,3,1,4,2,0,998,6,0,177,1175,5,0,1,1,1182,1142,0,2324,1,0,3,0,4,1,1,11,6,2,2,2,2005.0,3,3,736,5,5,1,147,21,0,0,0,0,0,0,0,0,7,2006,8,2,345000,1,3499
13,20,2,69.0,12968,1,0,0,0,1,1,0,24,7,6,1,6,5,6,1962,1962,0,0,0,9,3,0.0,3,4,2,4,4,2,4,737,6,0,175,912,5,4,1,1,912,0,0,912,1,0,1,0,2,1,3,4,6,0,0,3,1962.0,2,1,352,5,5,1,140,0,0,0,176,0,0,0,0,0,9,2008,4,1,144000,46,1824
14,20,2,91.0,10652,1,0,3,0,1,1,0,13,7,6,1,6,7,5,2006,2007,4,0,5,5,0,306.0,2,4,3,2,4,4,6,0,6,0,1494,1494,5,0,1,1,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,6,2006.0,1,3,840,5,5,1,160,33,0,0,0,0,0,0,0,0,8,2007,8,2,279500,1,2988
15,20,2,69.0,10920,1,0,3,0,1,0,0,14,7,6,1,6,6,5,1960,1960,0,0,2,3,2,212.0,3,4,2,4,4,2,1,733,6,0,520,1253,5,4,1,1,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,3,6,1960.0,1,1,352,5,5,1,0,213,176,0,0,0,0,4,0,0,5,2008,4,1,157000,48,2506
16,45,4,51.0,6120,1,0,1,0,1,0,0,3,7,6,1,7,7,8,1929,2001,4,0,12,13,3,0.0,3,4,5,4,4,2,6,0,6,0,832,832,5,0,1,3,854,0,0,854,0,0,1,0,2,1,3,5,6,0,0,3,1991.0,2,2,576,5,5,1,48,112,0,0,0,0,0,3,0,0,7,2007,4,1,132000,78,1686
17,20,2,69.0,11241,1,0,3,0,1,4,0,14,7,6,1,6,6,7,1970,1970,4,0,12,13,2,180.0,3,4,2,4,4,2,4,578,6,0,426,1004,5,0,1,1,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,5,6,1970.0,3,2,480,5,5,1,0,0,0,0,0,0,0,0,4,700,3,2010,4,1,149000,40,2008
18,90,2,72.0,10791,1,0,1,0,1,1,0,24,7,6,4,6,4,5,1967,1967,4,0,2,3,3,0.0,3,4,1,0,0,0,2,0,0,0,0,0,5,4,1,1,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,0,1,1967.0,2,2,516,5,5,1,0,0,0,0,0,0,0,0,4,500,10,2006,4,1,90000,39,1296
19,20,2,66.0,13695,1,0,1,0,1,1,0,4,2,6,1,6,5,5,2004,2004,4,0,5,5,3,0.0,3,4,3,4,4,2,0,646,6,0,468,1114,5,0,1,1,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,0,3,2004.0,2,2,576,5,5,1,0,102,0,0,0,0,0,0,0,0,6,2008,4,1,159000,4,2228
20,20,2,70.0,7560,1,0,1,0,1,1,0,14,7,6,1,6,5,6,1958,1965,0,0,6,9,3,0.0,3,4,2,4,4,2,5,504,6,0,525,1029,5,4,1,1,1339,0,0,1339,0,0,1,0,3,1,3,6,3,0,0,6,1958.0,2,1,294,5,5,1,0,0,0,0,0,0,0,2,0,0,5,2009,6,4,139000,51,2368
21,60,2,101.0,14215,1,0,3,0,1,0,0,0,7,6,1,2,8,5,2005,2006,4,0,5,5,2,380.0,2,4,3,1,4,4,6,0,6,0,1158,1158,5,0,1,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,2,2005.0,1,3,853,5,5,1,240,154,0,0,0,0,0,0,0,0,11,2006,8,2,325300,1,3534
22,45,4,57.0,7449,1,1,1,1,1,1,0,15,7,6,1,7,7,7,1930,1950,4,0,12,13,3,0.0,3,4,3,4,4,2,6,0,6,0,637,637,5,0,1,4,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,6,1930.0,2,1,280,5,5,0,0,0,205,0,0,0,0,3,0,0,6,2007,4,1,139400,77,1745
23,20,2,75.0,9742,1,0,1,0,1,1,0,13,7,6,1,6,8,5,2002,2002,0,0,5,5,2,281.0,2,4,3,2,4,2,6,0,6,0,1777,1777,5,0,1,1,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,6,2002.0,1,2,534,5,5,1,171,159,0,0,0,0,0,0,0,0,9,2008,4,1,230000,6,3572
